Area,Floor,TotalFloor,Bedroom,Living Room,Bathroom,Price
21.6,6,7,1,1,1,45000
21.7,3,7,2,2,1,28000
40,3,7,3,2,2,68000
38.8,2,12,3,2,2,42000
12.6,2,12,1,1,1,17000
55.4,2,6,4,2,2,53000
57.7,5,7,4,2,2,78000
31.7,11,12,3,2,2,150000
91.1,7,7,2,2,3,99999
53.2,9,12,3,2,2,119999
60.1,4,7,4,2,3,100000
40,2,7,4,1,2,45000
49.3,3,7,4,2,2,48000
26,2,4,2,2,1,36000
38,4,11,4,2,2,50000
25,5,5,2,1,1,24000
18,2,5,1,1,1,28000
40,3,4,4,2,2,39000
18.3,8,11,3,2,2,36000
39.1,1,7,1,3,3,50000
41.8,6,7,3,2,2,36000
47.8,13,21,2,2,2,55000
42.6,6,7,4,2,2,50000
33.9,7,7,2,2,1,57000
57.7,5,7,4,2,2,78000
36.5,7,7,2,2,1,59500
40.6,2,5,4,2,2,45000
58.1,4,14,4,2,2,100000
34.5,2,7,3,2,2,39000
42,4,4,3,2,2,36000
38.4,4,11,4,2,2,50000
64.6,14,18,4,2,2,135000
26,7,10,1,2,1,28000
108,15,16,3,1,2,200000
53.1,2,14,4,2,2,105000
58,3,6,4,2,2,98000
43.4,10,12,4,2,2,98000
35.8,5,13,3,2,2,57000
44.4,4,15,3,2,2,100000
47,10,12,2,1,2,45000
34.5,5,12,2,2,2,45000
39.4,2,6,3,2,3,60000
16,9,9,2,2,1,32000
61.1,5,7,4,2,2,60000
62.2,2,14,4,2,2,108000
58,4,14,4,2,2,100000
48,9,15,3,2,2,80000
25.3,4,7,2,2,2,88000
41.2,6,7,2,2,2,80000
37,4,13,3,2,2,45000
20.8,6,14,1,1,1,38800
21.2,2,9,1,1,1,35000
46.3,10,14,2,2,2,55000
22.8,5,12,2,1,1,43500
41.8,8,12,4,2,2,38000
42,1,4,4,2,3,150000
81.9,5,15,3,2,2,110000
46.8,7,12,4,2,2,48000
48.7,8,12,4,2,2,72000
24,8,14,2,1,1,42000
53,6,7,4,2,2,75000
25,11,13,2,2,2,49998
69,12,25,4,2,2,110000
30,6,9,4,2,2,50000
31,2,9,3,2,2,50000
85,9,13,3,2,2,158000
31,2,4,3,1,2,26000
48.5,4,12,3,2,2,45000
27.7,8,14,2,2,1,28000
31,3,7,3,2,2,35000
53,7,12,3,1,2,77000
57,12,12,5,1,1,89000
15.2,5,11,2,1,1,28500
16.6,8,9,2,1,1,45000
61,9,15,4,2,2,110000
56,5,12,3,2,2,70000
27,4,5,3,2,2,33000
23.7,2,18,1,1,1,51500
53.1,18,21,3,2,2,69500
41.8,6,7,3,1,2,36000
16.5,5,7,1,1,1,36000
38.9,6,13,3,2,2,50000
23,4,5,3,2,1,21000
20,1,4,2,2,3,42000
30.2,7,10,3,1,2,35000
11,7,14,1,2,1,25000
53.1,2,14,4,2,2,100000
29,4,16,3,2,2,40000
54,3,7,4,2,2,55000
39,4,4,3,2,2,40000
38,9,14,3,2,2,50000
40.3,5,6,3,2,2,47000
13,13,14,1,1,1,20000
106.1,11,11,3,3,3,150000
28,2,5,3,2,1,28000
12.4,3,6,1,2,1,40000
49.4,6,7,4,2,3,65000
55.5,6,17,4,2,2,70000
20,5,7,2,2,1,43000
51.3,5,7,3,2,2,60000
51,6,14,4,2,3,85000
40.1,3,12,3,2,2,48120
13.2,9,12,1,1,1,35000
32.3,10,12,3,2,1,50000
64.9,16,21,4,2,4,138000
31,2,4,2,1,2,31000
22,3,5,2,1,1,30000
38,9,13,3,2,2,48000
42,6,7,4,1,2,60000
35,5,6,3,2,2,40000
43,2,7,4,2,2,45000
44.1,10,12,2,2,2,58000
38,2,4,4,2,2,30000
60.2,7,19,4,2,2,77000
44,1,5,3,2,3,80000
53,2,7,4,2,2,55000
49.5,3,6,3,2,2,45000
49.5,3,6,4,2,2,45000
25,11,18,2,2,1,30500
75,5,12,4,2,2,138888
37.5,5,11,3,2,2,38000
26,1,4,2,2,1,36000
24.7,10,14,1,1,1,47999
30,3,12,3,2,1,35000
40,11,12,2,2,2,38000
39.9,3,7,3,2,2,45000
20,5,5,2,2,1,22000
20.2,5,12,2,2,1,35000
55,9,12,4,2,2,90000
43.4,10,12,4,2,2,98000
67,1,7,5,3,3,60000
58.5,10,17,3,2,2,68000
20,6,6,2,1,1,17000
19.7,7,11,2,1,1,40000
33.2,1,4,3,2,2,52000
14,11,14,2,1,1,40000
164.6,7,21,6,2,5,180000
35,8,8,3,2,2,23000
24.4,3,5,3,2,1,26000
15,7,7,1,1,1,28800
19.5,2,7,1,1,1,33000
44.3,3,7,4,2,2,44000
161.9,9,15,3,2,3,170000
22.4,3,12,2,2,1,45000
57.7,5,7,4,2,2,78000
32.7,2,7,3,2,2,38000
37,4,15,3,2,2,45000
30.9,4,12,2,2,1,38800
41.6,4,7,2,2,2,99999
77,5,21,4,2,2,150000
22.5,3,4,2,2,1,43000
19,6,7,2,1,1,45000
27.1,4,4,3,2,1,32000
51.5,9,16,4,2,2,69000
22,10,14,1,0,1,31000
43.6,5,5,4,2,2,59800
31,2,4,2,2,2,31000
27.8,9,12,3,2,2,42000
20,9,14,2,1,1,27000
41,6,7,3,2,2,36000
38.2,7,16,3,2,2,45000
58,5,9,4,2,2,60000
