"","bedroom","living_room","bathroom","building_floor","total_floor","area","houseage","price"
"750",NA,NA,NA,4,38,155.06,3,21800
"751",4,2,2,4,12,50.51,32,6600
"752",NA,NA,NA,10,13,17.08,10,2605
"753",3,2,1,3,7,20.14,50,1988
"754",3,2,2,6,6,30.65,36,3980
"755",5,3,4,13,13,89.6,9,9800
"756",4,2,2,5,7,58.17,8,5998
"757",3,2,2,5,7,34.15,37,2250
"758",NA,NA,NA,2,7,50.18,35,4918
"759",2,2,1,6,13,23.68,23,2668
"760",NA,NA,NA,12,12,20.28,37,1950
"761",2,2,2,8,12,49.43,40,5980
"762",3,1,1,3,7,53.69,9,5980
"763",2,1,1,6,7,19.18,7,2488
"764",4,2,2,6,7,48.23,42,4988
"765",2,1,1,3,7,20.14,50,1988
"766",2,1,1,3,7,20.14,50,1988
"767",3,2,2,3,14,65.3,30,10900
"768",4,2,2,4,6,53.29,32,4800
"769",2,1,1,2,7,24.17,3,2160
"770",4,2,2,3,7,49.06,41,4500
"771",3,2,2,3,7,33.51,38,3350
"772",3,2,2,3,25,67.54,28,8380
"773",2,2,2,8,12,49.41,39,5980
"774",1,1,1,8,14,10.65,9,1270
"775",5,2,2,3,7,59.28,35,6278
"776",2,3,3,13,16,54,35,4880
"777",3,2,2,5,7,26.74,35,2650
"778",1,2,3,4,38,155.07,4,21800
"779",4,2,2,6,6,50,42,4550
"780",4,2,3,22,23,96.7,0,12060
"781",3,2,3,3,25,79.53,26,8380
"782",1,1,1,7,12,17.67,41,1766
"783",5,2,2,7,12,66.7,35,7600
"784",1,1,1,14,14,29.08,10,3680
"785",3,2,2,8,15,37.12,35,3500
"786",4,2,3,10,15,105.43,6,14600
"787",2,2,1,2,11,17.17,14,2080
"788",2,2,3,6,7,81.39,8,7880
"789",1,1,1,6,7,10.75,9,1268
"790",4,2,3,2,7,92.07,7,7500
"791",3,2,2,10,12,69.97,11,6988
"792",2,1,1,5,12,21.07,19,1668
"793",4,2,3,2,7,92.07,7,7500
"794",3,2,3,7,17,71.93,28,6988
"795",4,2,2,3,7,52.71,47,5598
"796",2,2,1,5,8,39.77,23,4080
"797",2,2,1,6,7,21.5,30,2130
"798",NA,NA,NA,3,7,48.74,37,4630
"799",4,2,3,15,23,113.24,2,13228
"800",4,2,2,22,23,97.31,2,12060
"801",2,1,1,7,7,15.52,39,1699
"802",1,1,1,7,11,13.58,35,1298
"803",3,2,2,13,14,60.4,3,7200
"804",3,2,1,5,7,49.47,33,4800
"805",3,2,2,7,7,36.1,31,3230
"806",2,2,1,2,5,25.11,22,2650
"807",3,2,1,3,7,51.74,38,5170
"808",4,2,3,3,7,52.8,40,6580
"809",3,2,2,2,7,37.01,35,2800
"810",4,2,2,4,12,50.51,31,6600
"811",2,2,1,3,7,20.14,50,1988
"812",3,2,1,11,13,79.08,41,8200
"813",3,2,2,3,14,31.74,30,3098
"814",2,2,2,8,14,35.52,4,3680
"815",1,1,1,6,9,27.35,10,2480
"816",2,2,1,4,6,20.67,23,2150
"817",4,2,3,15,21,90.52,36,11020
"818",3,2,2,2,12,31.95,32,2210
"819",4,4,4,6,6,32.41,33,4200
"820",3,2,2,13,38,60.4,3,7088
"821",3,2,2,4,12,58.62,31,4980
"822",3,2,2,9,11,34.45,36,2400
"823",5,2,2,3,15,72.99,43,9300
"824",2,2,2,4,7,50.66,12,5680
"825",3,2,2,7,12,65.24,1,7980
"826",4,2,4,2,13,151.98,9,15588
"827",4,2,2,2,13,86.68,6,5280
"828",4,2,3,10,23,89.5,0,10588
"829",4,2,3,8,23,96.7,0,10160
"830",4,2,2,2,11,96.93,7,9998
"831",4,2,3,6,23,96.7,0,9888
"832",4,2,2,4,7,52.71,47,5499
"833",3,2,2,5,7,53.15,32,4350
"834",2,1,1,7,7,15.52,39,1699
"835",3,2,2,3,7,38.82,40,3380
"836",3,2,1,12,17,30.55,33,2588
"837",4,3,4,10,16,144.85,3,15000
"838",6,4,3,24,26,158.31,29,18880
"839",4,2,3,15,23,113.24,2,13288
"840",NA,NA,NA,7,14,97.19,6,12280
"841",3,2,2,8,16,31.69,36,3100
"842",NA,NA,NA,8,12,28.7,7,2998
"843",2,2,2,8,19,85.48,14,6600
"844",3,2,2,5,12,35.12,32,3360
"845",5,3,2,9,9,51.88,16,5600
"846",4,2,2,2,12,43.37,29,4180
"847",4,2,2,6,7,90.17,8,12000
"848",2,2,2,7,7,50.08,41,4760
"849",2,2,1,7,7,17.09,30,1680
"850",3,1,3,7,7,31.91,39,2988
"851",2,2,2,6,12,34.67,36,2850
"852",2,2,2,3,7,28.06,32,1958
"853",1,1,1,7,12,17.67,40,1766
"854",1,1,1,6,7,9.64,22,930
"855",3,2,2,5,20,74.32,0,9990
"856",3,2,2,2,7,39.63,38,3980
"857",3,2,2,10,12,86.58,4,6880
"858",3,2,2,10,12,41.93,43,4468
"859",4,2,2,5,7,58.17,8,5998
"860",4,2,3,2,11,101.63,5,11500
"861",6,2,2,14,14,89.31,36,10680
"862",NA,NA,NA,10,38,189.67,3,28500
"863",2,2,2,4,14,56.19,38,6180
"864",4,2,2,2,7,100.81,8,9999
"865",5,2,2,3,15,72.99,43,9300
"866",3,2,2,4,14,33.41,31,2970
"867",4,2,2,6,14,54.22,35,5388
"868",3,2,2,9,12,48.12,38,3480
"869",1,1,1,7,12,11.71,30,1280
"870",3,2,1,7,12,34.01,40,3080
"871",3,2,2,5,7,34.15,37,2250
"872",3,2,2,3,7,53.69,9,5980
"873",4,2,2,4,14,69.58,17,7800
"874",2,1,1,2,11,21.76,12,2917
"875",3,2,2,3,7,31.93,47,2518
"876",3,2,2,3,12,86,5,5468
"877",3,2,2,6,12,57.3,37,5099
"878",2,2,2,2,6,22.86,37,1998
"879",3,2,2,8,12,44.58,30,5705
"880",4,2,2,4,6,53.29,30,4800
"881",1,1,1,6,7,10,21,930
"882",2,2,1,6,7,24,31,2398
"883",2,2,1,7,15,42.38,1,4500
"884",2,2,2,12,12,56.17,36,3336
"885",2,1,1,3,10,9.8,27,1188
"886",2,2,1,6,7,21.5,30,2130
"887",2,2,1,6,7,23.98,29,2398
"888",1,1,1,4,12,15.5,41,1980
"889",2,2,2,8,12,49.43,39,5980
"890",3,2,2,2,6,38.98,41,3730
"891",4,2,2,5,6,65.2,28,6800
"892",NA,NA,NA,5,12,12.95,40,1155
"893",2,2,2,8,19,85.75,14,6600
"894",4,2,2,6,7,90.16,8,11500
"895",4,2,2,2,8,80,30,8888
"896",4,2,3,9,23,82.3,2,9876
"897",2,2,1,6,14,54,0,5050
"898",4,2,2,3,12,47.22,36,4180
"899",4,2,2,5,7,62.8,13,7888
"900",3,2,2,5,7,26.74,35,2650
"901",2,2,1,5,11,22.47,40,2560
"902",1,1,1,3,7,21.52,3,1980
"903",3,2,2,7,14,71.13,36,6898
"904",3,2,2,5,12,44.01,40,4988
"905",2,2,1,6,7,19.37,32,1980
"906",4,2,2,7,12,43.63,31,4200
"907",3,2,2,4,26,69.83,27,4850
"908",2,1,1,6,7,19.18,7,2488
"909",3,2,2,3,7,41.92,45,4288
"910",4,2,2,1,7,68.93,38,6200
"911",3,2,2,5,7,36.33,33,3218
"912",3,2,2,5,12,44.02,40,4988
"913",2,2,2,6,15,64.65,7,7950
"914",2,2,1,5,7,18.86,37,2180
"915",3,2,2,5,7,26.74,35,2650
"916",3,2,2,9,12,35.6,31,3500
"917",3,2,2,5,12,35.12,32,3360
"918",1,1,1,4,12,11.87,12,1258
"919",3,2,2,2,7,37.01,34,2800
"920",4,2,2,7,7,30.5,39,2800
"921",3,2,2,9,12,35.92,30,3500
"922",3,2,2,20,25,76.52,1,8980
"923",4,2,2,4,7,36.94,38,3300
"924",4,2,2,2,25,58.29,1,5918
"925",NA,NA,NA,8,12,28.69,7,2998
"926",3,2,2,3,7,38.81,39,3380
"927",3,2,2,3,15,75.09,28,10500
"928",2,2,1,3,7,44.81,6,4998
"929",3,2,2,8,12,44.5,31,5705
"930",3,2,2,5,12,44.01,40,4988
"931",3,2,2,9,12,48.12,38,3480
"932",3,2,2,3,7,33.52,37,3350
"933",4,2,3,6,25,111.52,28,9800
"934",4,2,3,3,15,72.99,1,8760
"935",3,2,2,3,6,50.34,33,5800
"936",4,2,2,9,12,55.36,38,5880
"937",4,2,2,2,6,40.54,34,3366
"938",3,2,2,8,15,37.11,36,3500
"939",2,2,2,6,7,29.15,39,2880
"940",3,2,2,5,7,38.18,41,4380
"941",4,2,2,9,12,43.43,30,4300
"942",2,2,1,5,11,22.47,40,2460
"943",2,2,2,7,7,34.02,34,3498
"944",3,2,2,5,20,74.31,0,9990
"945",4,2,2,13,19,91.38,5,13580
"946",2,2,1,10,14,27.08,31,2812
"947",NA,NA,NA,2,6,11.5,32,1138
"948",3,2,2,4,26,69.83,27,4850
"949",1,2,2,12,12,34.62,37,3350
"950",3,2,2,10,14,60.1,12,3900
"951",4,2,2,4,7,59.09,33,3980
